   time      numb     lati     long      area       tilt
19740930     499     14.76     95.22       9.0       60.12
19741006     500      5.02    304.14      43.0       12.96
19741011     501    -18.03    317.90     335.0       -5.37
19741006     502      9.54    290.22      67.0       17.54
19741012     503      9.05    272.43    1053.0      -22.91
19741012     505     11.57    283.87     615.0      -21.77
19741020     507      7.30    215.85      38.0      -10.16
19741029     512    -13.99     36.39      29.0       17.19
19741027     513      6.95     52.13      17.0        3.84
19741031     515     -5.96     17.79       5.0      -69.12
19741106     517      6.44    285.67      15.0       -5.33
19741105     518      0.83    274.25       2.0       33.20
19741103     519     12.64    285.44     201.0       -3.99
19741110     521      3.44    251.94      17.0       30.29
19741112     522      6.53    223.78      20.0       20.94
19741112     523      6.83    229.61      26.0        2.16
19741117     524     13.55    100.65     731.0        2.30
19741117     525     -3.34    159.02       7.0       40.01
19741122     527      1.48     74.02     104.0      -24.95
19741125     528      7.50     47.23      39.0       29.64
19741128     529      4.91     35.60      99.0       12.61
19741205     531      4.42    263.00      14.0       -8.90
19741216     534     10.83    174.45     307.0        3.10
19741213     535     13.25    224.73      16.0       11.40
19741216     536     13.54    104.04     446.0      -48.04
19741219     539      5.99     34.34     163.0       21.83
19741219     540    -15.99    141.00      20.0        9.63
19741221     541      6.42     73.79      22.0       -6.96
19741229     545     14.93      4.73      40.0       14.48
19741231     546     -9.01    242.45     172.0        5.59
19750101     547      7.89    339.15      74.0        2.61
19750112     548      3.71    199.71     161.0       21.79
19750107     550     10.25    244.74      72.0        2.22
19750112     552     14.49    104.55     220.0       40.63
19750110     554    -25.67    134.18      17.0       35.87
19750115     555      1.87     91.50      29.0      -16.54
19750119     556      6.10     35.63      77.0        1.01
19750121     557      3.84      0.55       5.0        1.27
19750124     559     -9.59    289.53       1.0       87.50
19750204     561    -13.45    158.03      76.0      -16.98
19750206     563    -10.59    145.76       2.0       14.43
19750207     564      2.34    125.88     316.0       -2.28
19750221     565      7.90    341.46       7.0       16.46
19750224     567     -9.09    285.79      26.0       26.71
19750224     568      3.09    310.07       1.0       -2.65
19750303     569     11.57    234.05      65.0        7.13
19750309     570      5.53     90.37       7.0      -23.41
19750313     571    -13.22    114.76      95.0       -3.86
19750317     572    -14.26     52.67     243.0        2.30
19750315     573    -10.18     87.40       2.0      -14.53
19750319     575      5.77     33.34       6.0       12.65
19750330     577      0.65    167.07       3.0      -53.76
